Timestamp,Total Water (Liters),Drinking (Liters),Cooking (Liters),Bathing (Liters),Washing Clothes (Liters),Dishwashing (Liters)
05-03-2024 15:00,120.23,7.24,7.98,42.24,31.85,15.85
05-03-2024 16:00,185.32,9.05,7.73,73.4,25.77,17.46
05-03-2024 17:00,75.41,7.07,6.5,74.86,28.25,5.17
05-03-2024 18:00,129.01,5.84,9.74,54.09,35.57,10.74
05-03-2024 19:00,76.55,8.61,12.82,41.3,45.32,9.15
05-03-2024 20:00,160.13,4.01,7.19,43.9,39.96,11.68
05-03-2024 21:00,97.22,4.61,10.46,69.09,43.07,13.59
05-03-2024 22:00,164.61,4.4,13.18,61.13,32.24,14.82
05-03-2024 23:00,100.57,4.35,10.47,30.5,21.94,13.32
06-03-2024 00:00,197.38,7.73,11.1,74.76,38.97,11.77
06-03-2024 01:00,153.36,6.86,9.4,78.45,27.43,9.48
06-03-2024 02:00,158.39,4.28,8.75,70.2,30.93,6.61
06-03-2024 03:00,117.51,9.68,14.73,74.76,15.92,12.13
06-03-2024 04:00,148.56,2.05,9.11,47.48,38.11,17.49
06-03-2024 05:00,121.12,3.2,9.18,62.37,16.96,17.13
06-03-2024 06:00,78.29,3.87,5.45,37.56,42.56,12.57
06-03-2024 07:00,79.06,2.23,6.86,33.75,23.02,6.01
06-03-2024 08:00,142.6,8.66,5.57,68.38,15.75,7.91
06-03-2024 09:00,122.69,5.15,6.6,33.88,46.75,14.89
06-03-2024 10:00,108.04,9.9,9.69,45.42,15.02,16.58
06-03-2024 11:00,196.03,3.47,13.15,75.65,24.29,8.94
06-03-2024 12:00,197.42,4.91,8.18,39.18,21.89,12.85
06-03-2024 13:00,179.68,6.51,12.39,40.24,24.56,9.92
06-03-2024 14:00,121.57,9.84,6.66,31.34,49.71,14.83
06-03-2024 15:00,124.22,7.01,12.51,49.7,23.84,6.14
06-03-2024 16:00,112.6,5.59,13.16,38.49,22.69,9.31
06-03-2024 17:00,112.26,3.86,13.86,69.85,38.46,19.92
06-03-2024 18:00,87.67,3.47,13.73,35.22,13.82,7.29
06-03-2024 19:00,50.11,7.31,6.48,57.65,15.05,12.79
06-03-2024 20:00,101.08,2.87,9.34,49.4,17.12,11.64
06-03-2024 21:00,110.48,5.27,11.24,69.07,41.67,19.46
06-03-2024 22:00,142.06,9.6,11.01,47.24,16.85,12.15
06-03-2024 23:00,169.92,9.5,10.28,66.67,26.39,8.64
07-03-2024 00:00,193.85,6.8,9.19,51.01,46.31,14.27
07-03-2024 01:00,84.4,9.8,13.87,55.11,42.48,12.94
07-03-2024 02:00,127.78,6.2,14.68,30.19,30.23,8.4
07-03-2024 03:00,80.14,7.15,14.67,62.44,30.56,8.5
07-03-2024 04:00,125.89,4.65,8.25,32.7,21.87,11.18
07-03-2024 05:00,183.18,8.64,6.75,48.07,10.13,10.15
07-03-2024 06:00,166.54,5.41,9.82,72.09,25.12,6.97
07-03-2024 07:00,83.35,4.99,5.96,61.91,17.7,8.58
07-03-2024 08:00,139.06,4.25,14.27,41.08,18.15,11
07-03-2024 09:00,132.81,9.63,14.75,53.16,40.82,9.8
07-03-2024 10:00,188.77,5.11,5.86,34.98,49.2,8.11
07-03-2024 11:00,99.7,5.26,5.02,49.8,39.72,14.88
07-03-2024 12:00,96.74,6.09,8.66,32.37,33.47,10.37
07-03-2024 13:00,50.85,8.95,13.36,52.23,44.75,19.2
07-03-2024 14:00,96.3,9.49,10.83,66.39,47.21,7.87
07-03-2024 15:00,83.03,6.02,6.77,59.54,31.21,10.97
07-03-2024 16:00,136.49,8.83,9.98,55.09,30.16,10.06
07-03-2024 17:00,107.05,4.37,9.54,77.76,11.47,17.24
07-03-2024 18:00,158.82,8.33,8.99,66.33,46.37,13.39
07-03-2024 19:00,108.26,3.21,10.57,69.3,20.83,5.02
07-03-2024 20:00,166.33,7.7,6.63,62.84,41.69,8.71
07-03-2024 21:00,172.84,2.7,6.86,69.25,27.01,11.93
07-03-2024 22:00,150.32,4.69,9.63,39.97,42.35,5.92
07-03-2024 23:00,121.24,4.23,13.66,34.46,38.01,13.18
08-03-2024 00:00,115.78,2,13.27,53.85,26.08,7.15
08-03-2024 01:00,184.14,5.4,6.4,52.35,38.42,7.77
08-03-2024 02:00,173.2,2.11,13.32,69.43,12.33,13.33
08-03-2024 03:00,163.52,6.81,12.54,65.48,24.8,15.83
08-03-2024 04:00,86.13,9.98,9.79,31.14,27.97,16.74
08-03-2024 05:00,130.06,7.71,14.16,77.32,29.18,18.65
08-03-2024 06:00,183.95,7.22,7.42,77.63,10.47,15.38
08-03-2024 07:00,178.93,2.85,10.94,54,31.22,5.51
08-03-2024 08:00,161.79,5.54,14.52,59.26,24.98,6.39
08-03-2024 09:00,75.85,7.09,11.63,41.61,48.74,9.57
08-03-2024 10:00,83.14,7.42,10.57,76.72,35.88,16.62
08-03-2024 11:00,183.18,5.03,5.79,30.03,42.16,8.64
08-03-2024 12:00,78.64,6.21,7.09,51.77,22.67,19.45
08-03-2024 13:00,112.93,8.75,8.87,49.07,14.77,6.97
08-03-2024 14:00,109.92,9.99,13.28,45.81,19.22,16.83
08-03-2024 15:00,131.44,6.03,12.88,41.91,13.18,9.68
08-03-2024 16:00,53.39,3.1,11.45,77.66,38.79,10.63
08-03-2024 17:00,164.68,8.85,5.8,44.23,30.54,7.25
08-03-2024 18:00,175.08,9.95,6.91,64.63,12.61,11.55
08-03-2024 19:00,152.89,9.84,8.27,44.01,24.63,14.83
08-03-2024 20:00,149.66,2.72,10.4,39.49,12.76,8.85
08-03-2024 21:00,127.72,8.88,10.61,59.6,46.54,6.51
08-03-2024 22:00,141.66,4.49,5.62,56.31,28.82,6.98
08-03-2024 23:00,151.79,5.05,10.51,37.41,38.28,8.22
09-03-2024 00:00,66.03,3.74,13.81,47.77,32.39,19.78
09-03-2024 01:00,65.96,6.47,6.57,72.15,40.02,13.04
09-03-2024 02:00,154.4,4.32,6.82,71.34,17.24,15.81
09-03-2024 03:00,135.18,6.07,7.99,51.86,29.11,19.54
09-03-2024 04:00,138.41,9.82,6.7,72.3,17.15,18.9
09-03-2024 05:00,158.29,6.95,8.11,45.69,38.28,11.69
09-03-2024 06:00,120.22,5.22,10.97,37.44,43.08,18.22
09-03-2024 07:00,164.44,9.22,12.99,32.99,36.6,15.94
09-03-2024 08:00,148.74,5.42,8.28,56.92,12.03,7.6
09-03-2024 09:00,177.37,4.53,7.93,78.54,31.27,7.24
09-03-2024 10:00,156.84,3.59,10.04,60.04,18.64,5.76
09-03-2024 11:00,150.56,4.72,10.12,79.42,44.78,14.07
09-03-2024 12:00,135.61,6.4,7.01,47.93,48.3,10.49
09-03-2024 13:00,69.39,6.89,14.15,51.79,49.8,19.23
09-03-2024 14:00,149.03,7.51,8.23,70.95,46.42,7.12
09-03-2024 15:00,190.23,7.68,7.15,51.6,28.75,19.23
09-03-2024 16:00,151.92,5.24,9.75,54.19,11.85,10.56
09-03-2024 17:00,89.51,7.04,12.5,37.92,40.52,11.17
09-03-2024 18:00,83.53,4.89,5.46,67.16,43.76,6.95
09-03-2024 19:00,61.61,8.9,7.67,31.68,25.8,12.97
09-03-2024 20:00,185.72,6.23,14.72,46.69,14.77,16.31
09-03-2024 21:00,81.06,9.45,13.3,60.8,15.6,17.37
09-03-2024 22:00,94.46,4.21,10.66,38.05,37.6,13.83
09-03-2024 23:00,130.91,9.41,6.82,71.73,29.43,12.21
10-03-2024 00:00,154.33,7.39,8.63,49.82,33.25,15.57
10-03-2024 01:00,161.19,2.46,9.26,76.7,28.2,16.24
10-03-2024 02:00,68.37,4.87,13.75,61.15,24.5,9.75
10-03-2024 03:00,181.07,8.76,9.53,47.3,45.22,11.28
10-03-2024 04:00,133.73,4.98,14.28,78.13,20.38,19.54
10-03-2024 05:00,115.61,3.58,5.22,31.64,30.53,19.17
10-03-2024 06:00,141.14,3.68,9.35,79.64,38.06,14.49
10-03-2024 07:00,158.31,5.52,8.08,38.5,29.64,16.55
10-03-2024 08:00,121.22,5.33,9.83,60.02,37.09,8.45
10-03-2024 09:00,123.35,2.72,6.85,76.41,15.19,7.55
10-03-2024 10:00,148.38,2.64,13.44,49.38,40.33,16.78
10-03-2024 11:00,74.02,5.35,13.93,75.15,47.89,19.14
10-03-2024 12:00,79,8.09,7.04,60.85,47.02,9.14
10-03-2024 13:00,154.57,9.84,11.86,52.12,36.66,17.74
10-03-2024 14:00,93.53,7.12,11.77,67.65,32.45,10.05
10-03-2024 15:00,119.64,3.38,13.68,39.2,41.39,17.1
10-03-2024 16:00,135.83,3.84,6.33,50.13,18.49,7.69
10-03-2024 17:00,113.69,2.93,11.01,77.89,20.08,6.56
10-03-2024 18:00,118.09,8.48,6.16,46.38,11.27,5.34
10-03-2024 19:00,68.42,8.77,7.22,30.28,32.9,9.89
10-03-2024 20:00,182.1,8.39,14.5,40.66,17.58,15.91
10-03-2024 21:00,173.41,4.36,6.35,31.33,14.84,11.85
10-03-2024 22:00,132.53,6.51,11.59,48.37,39.68,13.13
10-03-2024 23:00,138.13,4.8,9.91,75.08,39.7,8.89
11-03-2024 00:00,196.25,5.72,14.95,56.72,48.65,5.67
11-03-2024 01:00,159.51,8.59,6.82,39.21,13.62,19.79
11-03-2024 02:00,79.97,9.39,12.42,75.16,43.96,15.75
11-03-2024 03:00,195.38,5.55,14.31,56.92,24.24,6.36
11-03-2024 04:00,140.75,7.69,12.1,54.74,24.99,16.21
11-03-2024 05:00,142.09,9.27,13.98,67.05,13.87,9.3
11-03-2024 06:00,64.1,6.39,12.75,58.96,45.77,9.46
11-03-2024 07:00,186.87,3.71,14.41,64.86,29.98,6.84
11-03-2024 08:00,178.4,2.15,13.93,51.22,45.85,9.78
11-03-2024 09:00,122.41,5.46,14.8,47.47,46.62,6.72
11-03-2024 10:00,84.38,5.4,6.23,55.89,16.13,6.54
11-03-2024 11:00,113.1,3.74,11.25,59.92,23.94,14.22
11-03-2024 12:00,75.41,7.66,14.01,68.79,43.93,5.45
11-03-2024 13:00,70.12,2.76,9.5,33.37,40.58,6.81
11-03-2024 14:00,115,2.43,6.68,33.6,27.44,16.58
11-03-2024 15:00,137.44,2.13,10.79,67.12,11.16,16.15
11-03-2024 16:00,107.89,2.88,11.3,55.08,33.61,10.31
11-03-2024 17:00,103.5,9.81,5.81,64.35,47.39,18.72
11-03-2024 18:00,160.43,9.3,8.59,48.31,34.96,12.35
11-03-2024 19:00,153.38,5.6,13.58,63.17,33.45,5.07
11-03-2024 20:00,153,8.9,10.37,55.16,36.78,7.71
11-03-2024 21:00,165.68,5.66,11.11,73.58,14.33,10.19
11-03-2024 22:00,138.05,6.52,14.87,75.64,18.29,7.94
11-03-2024 23:00,149.69,7.7,14.46,54.2,25.82,17.93
12-03-2024 00:00,56.51,3.85,8.52,71.5,47.2,12.85
12-03-2024 01:00,154.51,4.35,6.2,36.02,34.19,7.69
12-03-2024 02:00,72.83,3.1,14.4,53.92,31.13,11.19
12-03-2024 03:00,133.01,4.81,5.27,58.4,17.04,10.83
12-03-2024 04:00,81.91,4.18,7.54,62.96,35.22,5.73
12-03-2024 05:00,75.5,2.66,11.08,64.48,48.35,8.97
12-03-2024 06:00,104.98,4.73,6.3,68.06,20.75,9.91
12-03-2024 07:00,118.11,7.47,13.58,79.95,30.5,18.71
12-03-2024 08:00,185.41,2.65,10.18,40.8,37.17,9.18
12-03-2024 09:00,155.39,3.2,7.78,53.51,45.76,10.51
12-03-2024 10:00,147.98,8.8,8.38,42.87,24.62,6.38
12-03-2024 11:00,154.84,3.45,10.09,57.89,27.76,19.81
12-03-2024 12:00,131.42,4.01,12.96,79.12,47.68,5.28
12-03-2024 13:00,131.22,7.8,8.07,40.24,17.79,19.78
12-03-2024 14:00,157.01,4.2,9.53,39.3,26.82,15.4
12-03-2024 15:00,114.06,9.63,7.63,79.66,15.16,16.26
12-03-2024 16:00,104.35,6.85,11.47,77.51,34.9,17.97
12-03-2024 17:00,198.64,2.35,10.57,39.82,47.38,6.43
12-03-2024 18:00,150.16,2.56,5.92,54.14,45.72,17.54
12-03-2024 19:00,56.56,3.06,10.31,46.27,48.05,5.27
12-03-2024 20:00,51.43,4.18,11.3,46.17,40.01,10.77
12-03-2024 21:00,89.55,2.07,12.25,40.54,23.51,9.09
12-03-2024 22:00,68.1,5.83,10.85,51.97,21.27,5.2
12-03-2024 23:00,154.81,2.64,9.6,77.28,39.17,6.8
13-03-2024 00:00,137.07,7.34,6.45,69.17,48.08,5.9
13-03-2024 01:00,177.47,4.02,13.7,40.52,32.35,5.83
13-03-2024 02:00,71.29,3.62,11.22,77.04,11.68,14.43
13-03-2024 03:00,55.15,6.72,13.01,73.7,25.11,14.98
13-03-2024 04:00,84.19,6.99,11.52,63.27,36.78,10.99
13-03-2024 05:00,97.09,4.13,11.55,62.28,45.91,17.3
13-03-2024 06:00,170.53,6.99,6.5,63.19,10.08,14.88
13-03-2024 07:00,154.57,4.35,10.39,39.89,46.67,5.73
13-03-2024 08:00,159.7,4.35,11.24,74.83,38.25,11.52
13-03-2024 09:00,84.2,6.19,14.84,45.67,14.25,14.27
13-03-2024 10:00,114.91,5.58,9.06,75.8,40.33,7.63
13-03-2024 11:00,105.55,9.44,5.03,42.41,44.25,19.71
13-03-2024 12:00,118.37,7.15,5.28,52.09,21.02,12.42
13-03-2024 13:00,96.18,6.51,14.65,50.29,45.91,17.97
13-03-2024 14:00,100.74,7.96,7.96,73.55,20.02,8.82
13-03-2024 15:00,100.05,9.61,9.41,60.72,19.13,14.43
13-03-2024 16:00,184.32,5.02,7.06,58.34,32.23,11.64
13-03-2024 17:00,192.11,3.22,5.25,47.18,24.45,19.21
13-03-2024 18:00,184.53,8.51,7.07,61.02,46.01,7.88
13-03-2024 19:00,113.8,9.67,10.51,66.14,24.39,9.92
13-03-2024 20:00,81.62,9.03,8.23,67.18,39.32,5.5
13-03-2024 21:00,189.76,5.75,5.55,69.4,41.4,11.42
13-03-2024 22:00,158.79,5.41,8.26,76.69,29.34,19.7
13-03-2024 23:00,131.7,7.93,11.44,54.18,44.64,6.02
14-03-2024 00:00,99.26,7.67,6.55,77.83,29.28,16.91
14-03-2024 01:00,87.59,2.99,9.1,42.73,44.09,9.2
14-03-2024 02:00,76.43,8.96,5.09,51.48,31.38,11.14
14-03-2024 03:00,166.45,3.51,11.86,32.21,18.83,19.65
14-03-2024 04:00,193.11,2.38,11.34,60.55,23.99,8.75
14-03-2024 05:00,153.38,2.45,14.54,67.89,33.88,8.05
14-03-2024 06:00,174.07,6.18,12.79,64.88,40.87,19.22
14-03-2024 07:00,147.96,4.24,13.05,45.63,34.42,15.79
14-03-2024 08:00,115.26,6.05,12.21,50.1,41.98,10.93
14-03-2024 09:00,177.72,3.62,12.1,66.19,26.03,13.98
14-03-2024 10:00,99.66,2.42,7.89,53.37,14.17,9.77
14-03-2024 11:00,158.05,5.41,11.34,31.5,43.97,12.93
14-03-2024 12:00,91.02,2.33,14.16,69.51,32.31,15.99
14-03-2024 13:00,71.53,2.18,11.86,64.33,34.52,17.01
14-03-2024 14:00,157.85,5.53,14.95,63.25,34.25,6.92
14-03-2024 15:00,194.73,6.15,13.52,62.47,29.1,18.97
14-03-2024 16:00,127.9,3.33,10.6,58.15,48.49,10.98
14-03-2024 17:00,114.92,6.28,5.32,52.86,37.15,10.18
14-03-2024 18:00,69.19,6.4,9.3,77.53,11.87,16.52
14-03-2024 19:00,127.98,9.64,12.91,65.25,10.9,7.82
14-03-2024 20:00,102.49,4.7,6.52,61.72,42.34,7.27
14-03-2024 21:00,99.37,9.4,5.49,69.85,31.75,5.61
14-03-2024 22:00,77.16,8.17,8.74,48.92,43.5,6.57
14-03-2024 23:00,143.65,4.45,10.07,52.72,20.45,16.1
15-03-2024 00:00,194.24,7.56,12.91,34.58,10.67,19.11
15-03-2024 01:00,162.8,5.94,11.98,60.71,27.18,8.8
15-03-2024 02:00,61.16,3.75,10.36,51.19,32.3,14.26
15-03-2024 03:00,156.09,4.37,6.56,73.54,14.66,9.62
15-03-2024 04:00,179.29,4.43,9.57,70.12,25.04,5.33
15-03-2024 05:00,97.33,6.36,14.27,68.04,44.62,10.63
15-03-2024 06:00,151.67,2.92,9.1,30.26,31.36,11.08
15-03-2024 07:00,58.19,6.22,13.93,62.3,42.2,8.56
15-03-2024 08:00,150.25,5.99,11.64,75.82,13.73,18.18
15-03-2024 09:00,56.24,9.91,5.73,41.14,23.11,18.53
15-03-2024 10:00,177.58,8.93,14.57,31.75,35.64,15.77
15-03-2024 11:00,106.14,8.29,12.28,43.25,26.21,8.74
15-03-2024 12:00,113.63,7.59,11.8,64.63,25.11,11.75
15-03-2024 13:00,164.32,7.22,11.98,39.35,41.13,15.13
15-03-2024 14:00,150.71,7.82,9.23,36.33,44.7,5.44
15-03-2024 15:00,75.15,9.03,12.18,49.51,42.81,5.49
15-03-2024 16:00,171.78,2.48,14.38,43.42,32.54,14.99
15-03-2024 17:00,84.15,2.26,7.36,32.83,32.46,9.35
15-03-2024 18:00,188.39,7.96,7.01,35.39,33.39,14.52
15-03-2024 19:00,190.2,5.54,10.1,34.13,24.45,14.42
15-03-2024 20:00,199.58,2.83,14.69,64.92,38.39,19.27
15-03-2024 21:00,50.34,9.02,6.76,45.45,46.96,6.32
15-03-2024 22:00,140.8,8.15,10.68,60.4,10.31,9.29
15-03-2024 23:00,184,4.54,9.88,73.73,41.19,6.66
16-03-2024 00:00,113.61,9.44,9.53,51.4,17.28,6.21
16-03-2024 01:00,167.21,7.12,14.49,63.71,41.4,15.54
16-03-2024 02:00,157.6,4.15,13.37,78.94,40.56,6.77
16-03-2024 03:00,104.61,8.87,8.13,38.35,17.49,18.96
16-03-2024 04:00,163.26,2.91,12.16,61.42,13.12,9.67
16-03-2024 05:00,129.91,3.82,8.21,51.45,45.08,12.53
16-03-2024 06:00,180.2,8.86,13.34,63.82,20.58,5.36
16-03-2024 07:00,190.43,9.4,12.51,37.05,11.16,13.33
16-03-2024 08:00,115.84,8.06,9.67,76.93,40.2,7.31
16-03-2024 09:00,77.75,9.5,13.94,77.81,19.41,6.85
16-03-2024 10:00,140.28,7.42,11.91,62.31,21.18,14.12
16-03-2024 11:00,180.33,6.65,8.95,56.82,27.19,16.19
16-03-2024 12:00,157.44,4.33,13.04,49.18,40.75,17.26
16-03-2024 13:00,135.71,3.16,5.3,31.32,27.81,12.54
16-03-2024 14:00,68.45,8.5,9.93,40.01,26.89,11.49
16-03-2024 15:00,156.13,8.5,7.28,66.32,28.46,17.61
16-03-2024 16:00,92.99,6.76,9.72,33.72,43.87,7.66
16-03-2024 17:00,134.85,5.04,8.74,30.79,41.18,17.82
16-03-2024 18:00,138.14,2.9,9.84,75.01,11.67,6.57
16-03-2024 19:00,185.61,9.82,7.54,71.59,34.05,5.63
16-03-2024 20:00,143.67,8.91,10.63,47.05,30.67,11.62
16-03-2024 21:00,82.37,6.86,6.39,57.73,28.51,15.75
16-03-2024 22:00,120.1,5.37,14.14,33.51,39.5,19.42
16-03-2024 23:00,102.95,6.56,9.07,63.07,33.38,12.91
17-03-2024 00:00,73.97,5.44,12.9,66.74,28.83,12.42
17-03-2024 01:00,84.83,2.52,11.59,53.74,28.52,5.08
17-03-2024 02:00,156.14,2.55,11.79,33.8,32.84,8.39
17-03-2024 03:00,127.65,6.67,13.17,66.15,42.29,19.75
17-03-2024 04:00,150,2.58,13.66,38.75,13.3,12.83
17-03-2024 05:00,122.73,2.96,14.86,31.84,45.48,8.6
17-03-2024 06:00,147.59,6.72,7.72,70.92,33.31,15.28
17-03-2024 07:00,76.78,7.95,5.06,48.13,35.84,8.45
17-03-2024 08:00,106.61,7.58,10.93,32.08,17.69,11.81
17-03-2024 09:00,118.11,4.92,11.77,31.28,24.06,19.03
17-03-2024 10:00,155.97,4.63,8.15,30.29,28.17,13.35
17-03-2024 11:00,126.69,7.08,6.98,40.95,41.1,14.27
